"year","sev","dur"
1900,0.00472614965177125,1
1901,5.6741748976544,13
1902,0.654361381410117,1
1903,6.52095448159951,7
1904,5.18109138891916,4
1905,1.686060146568,4
1906,0.884264912013594,1
1907,0.620870235814937,3
1908,2.52027929199414,4
1909,11.4618825094243,8
1910,2.65473117593754,4
1911,0,0
1912,13.027048488541,9
1913,8.74211262364473,10
1914,0.222195082930536,2
1915,5.12078940912545,3
1916,1.61217810415723,2
1917,6.17284725107108,5
1918,4.26821603155586,4
1919,3.45368651306396,5
1920,3.58048390013967,2
1921,4.04434456493629,5
1922,0.680356855169346,1
1923,1.36020016550573,3
1924,3.76015623284015,3
1925,6.60242417715654,4
1926,1.02923441026202,2
1927,0.971636889939483,2
1928,3.27617317036563,4
1929,5.08242802040367,5
1930,4.48867078618461,4
1931,0.433721362288374,2
1932,5.11527749649419,5
1933,6.68019547652023,6
1934,14.3172323387707,14
1935,2.23679354378331,3
1936,1.8198895009925,4
1937,2.03343395581312,3
1938,3.99622733877585,6
1939,1.23944865393202,2
1940,1.13656624483266,3
1941,0.362555235656577,2
1942,5.58010048042105,6
1943,12.0270908958794,13
1944,6.12037259531851,5
1945,0.629132505602357,3
1946,1.58647668346608,1
1947,6.35830887573133,6
1948,3.32200724985818,4
1949,6.65622423959854,6
1950,2.6116549875989,5
1951,0.488131105660112,1
1952,7.79556295993248,11
1953,4.46134454036892,3
1954,13.5432604731967,10
1955,0.848234910824465,1
1956,0.188311429221782,1
1957,4.13154697759939,8
1958,1.24566317144679,2
1959,12.469082329245,13
1960,4.51787056485883,7
1961,0.895183697854921,2
1962,1.15606935536549,2
1963,6.32950747550553,5
1964,10.5301335850441,15
1965,2.32864062176837,4
1966,0.817907103418308,1
1967,0.045897206196396,1
1968,3.78201621989285,6
1969,0.125119338449583,1
1970,3.95639727908114,7
1971,4.997741392543,5
1972,8.89063537790586,9
1973,7.03928423938281,6
1974,2.28762354598341,3
1975,8.42467056158419,10
1976,0,0
1977,14.689727835945,11
1978,5.08960311649263,8
1979,1.95321538514287,3
1980,0.874494803058659,2
1981,0.414976966383713,1
1982,11.3299844852333,10
1983,3.85802697774684,3
1984,0.473609244435719,3
1985,3.54752285935123,6
1986,0.294078978983791,2
1987,0,0
1988,2.21155034340812,3
1989,13.6031575093249,15
1990,1.22149183668613,1
1991,3.41431260262036,4
1992,6.4114194973528,6
1993,2.79871832467561,3
1994,0.59522159606057,1
1995,2.40328455012947,4
1996,5.93406897737493,5
1997,5.74763299883316,8
1998,1.74374667791364,6
1999,9.76836938545402,8
2000,2.27321014655467,2
2001,3.4245280900376,4
2002,0.0491462737895503,1
2003,12.997272526499,11
2004,0.954233096973311,2
2005,1.65169415124528,3
2006,5.84689421793561,7
2007,0.827723921431998,1
2008,4.38461094440237,5
2009,3.51653476022592,6
2010,2.77278244139877,3
2011,6.33904201190234,4
2012,3.83633054595054,3
2013,1.68122143536897,2
2014,5.8795428093351,4
2015,4.59970370141339,5
2016,6.510832640617,7
2017,1.46703533681849,3
2018,0.749727084061287,1
2019,18.4218482993823,11
